10.132.0.2 Avg=1.03333
10.132.0.4 Avg=1.15967
10.132.0.5 Avg=1.1
10.132.0.9 Avg=1.64667
10.132.0.34 Avg=1.115
10.132.0.24 Avg=28.6733
10.132.0.17 Avg=0.935
10.132.0.14 Avg=1.21
10.132.0.6 Avg=0.842667
10.132.0.32 Avg=1.109
10.132.0.28 Avg=0.993
10.132.0.49 Avg=1.05533
10.132.0.51 Avg=1.226
10.132.0.67 Avg=1.32667
10.132.0.95 Avg=1.10033
10.132.0.19 Avg=343.402
10.132.0.73 Avg=342.697
10.132.0.105 Avg=346.54
10.132.0.48 Avg=339.198
10.132.0.76 Avg=337.749
10.132.0.75 Avg=336.012
10.132.0.68 Avg=336.589
10.132.0.59 Avg=337.343
10.132.0.143 Avg=340.47
10.132.0.39 Avg=335.42
10.132.0.179 Avg=336.837
10.132.0.104 Avg=1046.43
10.132.0.83 Avg=1050.43
10.132.0.38 Avg=1039
10.132.0.60 Avg=1049.97
10.132.0.84 Avg=1033.4
10.132.0.117 Avg=1033.13
10.132.0.102 Avg=1047.03
10.132.0.107 Avg=364.313
10.132.0.31 Avg=1137.67
10.132.0.89 Avg=2.502
10.132.0.217 Avg=350.264
10.132.0.218 Avg=1.49667
10.132.0.207 Avg=1037.67
10.132.0.204 Avg=1040.3
10.132.0.210 Avg=1039.23
10.132.0.214 Avg=1029.23
10.132.0.223 Avg=1.49667
10.132.0.226 Avg=1.59333
10.132.0.232 Avg=7.8
10.132.0.237 Avg=1.13533
10.132.0.238 Avg=1.37
10.132.0.239 Avg=0.992
10.132.0.243 Avg=0.986
10.132.1.2 Avg=1.43
10.132.0.255 Avg=341.674
10.132.1.1 Avg=342.067
10.132.1.3 Avg=341.217
10.132.1.8 Avg=345.017
10.132.1.10 Avg=1038.63
10.132.1.13 Avg=1.67667
10.132.1.17 Avg=1.30367
10.132.1.16 Avg=1.73
10.132.1.26 Avg=0.975
10.132.1.29 Avg=1.83667
10.132.1.34 Avg=56.7333
10.132.1.37 Avg=1.184
10.132.0.146 Avg=47.3
10.132.0.142 Avg=1.32
10.132.1.41 Avg=1.80667
10.132.1.43 Avg=1.88
10.132.1.49 Avg=1.07067
10.132.1.53 Avg=1.62
10.132.1.63 Avg=1.187
10.132.1.66 Avg=2.21667
10.132.1.65 Avg=1.32333
10.132.1.67 Avg=1.40333
10.132.1.68 Avg=1.23733
10.132.1.73 Avg=347.407
10.132.1.84 Avg=339.997
10.132.1.82 Avg=340.473
10.132.1.72 Avg=0.959
10.132.1.87 Avg=337.387
10.132.1.89 Avg=335.148
10.132.1.97 Avg=347.133
10.132.1.92 Avg=348.75
10.132.1.83 Avg=357.433
10.132.1.103 Avg=344.28
10.132.1.108 Avg=338.419
10.132.1.105 Avg=337.203
10.132.1.98 Avg=1042.3
10.132.1.102 Avg=1041.53
10.132.1.93 Avg=1051.4
10.132.1.203 Avg=0.939667
10.132.1.205 Avg=1.1
10.132.1.206 Avg=1.09967
10.132.1.208 Avg=0.804333
10.132.1.211 Avg=1.19667
10.132.1.222 Avg=1.251
10.132.1.226 Avg=1.17667
10.132.1.228 Avg=1.36667
10.132.1.227 Avg=0.908
10.132.1.230 Avg=1.325
10.132.1.235 Avg=1.77933
10.132.1.238 Avg=1.43767
10.132.1.239 Avg=1.48333
10.132.1.250 Avg=1.18733
10.132.1.241 Avg=2.23667
10.132.1.242 Avg=1.28867
10.132.1.240 Avg=1.214
10.132.1.254 Avg=335.903
10.132.1.247 Avg=356.913
10.132.2.3 Avg=341.807
10.132.1.246 Avg=348.623
10.132.1.255 Avg=345.467
10.132.2.1 Avg=340.749
10.132.1.249 Avg=340.993
10.132.2.10 Avg=341.01
